"id","commodity__sid","commodity__code","commodity__suffix","commodity__description","commodity__validity_start","commodity__validity_end","parent__sid","parent__code","parent__suffix"
8808,36355,"2905170000","80","Dodecan-1-ol (lauryl alcohol), hexadecan-1-ol (cetyl alcohol) and octadecan-1-ol (stearyl alcohol)","1972-01-01","#NA",36340,"2905110000","10"
8809,36356,"2905190000","80","Other","1972-01-01","#NA",36340,"2905110000","10"
8810,72098,"2905190011","10","Metal alcoholates","2000-07-01","#NA",36356,"2905190000","80"
8811,72099,"2905190011","80","Potassium tert-butanolate (CAS RN 865-47-4), whether or not in the form of a solution in tetrahydrofuran according to note 1e) to Chapter 29 of the CN","2000-07-01","#NA",72098,"2905190011","10"
8812,72100,"2905190019","80","Other","2000-07-01","#NA",72098,"2905190011","10"
8813,98323,"2905190020","80","Butyltitanate monohydrate, homopolymer (CAS RN162303-51-7)","2014-07-01","#NA",36356,"2905190000","80"
8814,98324,"2905190025","80","Tetra-(2-ethylhexyl) titanate (CAS RN 1070-10-6)","2014-07-01","#NA",36356,"2905190000","80"
8815,80547,"2905190030","80","2,6-Dimethylheptan-4-ol (CAS RN 108-82-7)","2004-07-01","#NA",36356,"2905190000","80"
8816,92642,"2905190040","80","2,6-Dimethylheptan-2-ol (CAS RN 13254-34-7)","2010-07-01","#NA",36356,"2905190000","80"
8817,96809,"2905190070","80","Titanium tetrabutanolate (CAS RN 5593-70-4)","2013-01-01","#NA",36356,"2905190000","80"
8818,96811,"2905190080","80","Titanium tetraisopropoxide (CAS RN 546-68-9)","2013-01-01","#NA",36356,"2905190000","80"
8819,97850,"2905190085","80","Titanium tetraethanolate (CAS RN 3087-36-3)","2014-01-01","#NA",36356,"2905190000","80"
8820,93758,"2905190098","80","Other","2011-05-12","#NA",36356,"2905190000","80"
8821,63132,"2905220000","10","Unsaturated monohydric alcohols","1972-01-01","#NA",36339,"2905000000","80"
8822,36363,"2905220000","80","Acyclic terpene alcohols","1972-01-01","#NA",63132,"2905220000","10"
8823,99075,"2905220010","80","Linalool (CAS RN 78-70-6) containing by weight 90,7 % or more of (3R)-(-)-Linalool (CAS RN 126-91-0)","2015-07-01","#NA",36363,"2905220000","80"
8824,102865,"2905220020","80","3,7-Dimethyloct-6-en-1-ol (CAS RN 106-22-9)","2017-07-01","#NA",36363,"2905220000","80"
8825,99076,"2905220090","80","Other","2015-07-01","#NA",36363,"2905220000","80"
8826,36366,"2905290000","80","Other","1972-01-01","#NA",63132,"2905220000","10"
8827,59583,"2905291000","80","Allyl alcohol","1996-01-01","#NA",36366,"2905290000","80"
8828,59584,"2905299000","80","Other","1996-01-01","#NA",36366,"2905290000","80"
8829,103956,"2905299010","80","Cis-hex-3-en-1-ol (CAS RN 928-96-1)","2018-07-01","#NA",59584,"2905299000","80"
8830,103955,"2905299090","80","Other","2018-07-01","#NA",59584,"2905299000","80"
8831,36367,"2905310000","10","Diols","1972-01-01","#NA",36339,"2905000000","80"
8832,36368,"2905310000","80","Ethylene glycol (ethanediol)","1972-01-01","#NA",36367,"2905310000","10"
8833,105770,"2905310010","80","Mono ethylene glycol (current EC-number 203-473-3)","2020-10-14","#NA",36368,"2905310000","80"
8834,105771,"2905310090","80","Other","2020-10-14","#NA",36368,"2905310000","80"
8835,36369,"2905320000","80","Propylene glycol (propane-1,2-diol)","1972-01-01","#NA",36367,"2905310000","10"
8836,106111,"2905320020","80","(2S)-Propane-1,2-diol (CAS RN 4254-15-3) with a purity by weight of 98 % or more","2021-07-01","#NA",36369,"2905320000","80"
8837,104543,"2905320090","80","Other","2019-07-01","#NA",36369,"2905320000","80"
8838,36370,"2905390000","80","Other","1972-01-01","#NA",36367,"2905310000","10"
8839,65033,"2905392000","80","Butane-1,3-diol","1997-01-01","#NA",36370,"2905390000","80"
8840,99493,"2905392600","10","Butane-1,4-diol","2016-01-01","#NA",36370,"2905390000","80"
8841,99494,"2905392600","80","Butane-1,4-diol or tetramethylene glycol (1,4-butanediol) having a bio-based carbon content of 100|% by mass","2016-01-01","#NA",99493,"2905392600","10"
8842,99495,"2905392800","80","Other","2016-01-01","#NA",99493,"2905392600","10"
8843,65034,"2905393000","80","2,4,7,9-Tetramethyldec-5-yne-4,7-diol","1997-01-01","#NA",36370,"2905390000","80"
8844,90294,"2905399500","80","Other","2009-01-01","#NA",36370,"2905390000","80"
8845,93939,"2905399530","80","2,4,7,9-Tetramethyl-4,7-decanediol (CAS RN 17913-76-7)","2012-01-01","#NA",90294,"2905399500","80"
8846,97472,"2905399540","80","Decane-1,10-diol (CAS RN 112-47-0)","2013-07-01","#NA",90294,"2905399500","80"
8847,97851,"2905399550","80","2-Methyl-2-propylpropane-1,3-diol (CAS RN 78-26-2)","2014-01-01","#NA",90294,"2905399500","80"
8848,104822,"2905399560","80","Dodecane-1,12-diol (CAS RN 5675-51-4)","2020-01-01","#NA",90294,"2905399500","80"
8849,105399,"2905399570","80","2-methylpropane-1,3-diol (CAS RN 2163-42-0) with a purity by weight of 98 % or more","2020-07-01","#NA",90294,"2905399500","80"
8850,108315,"2905399580","80","Pentane-1,5-diol (CAS RN 111-29-5) with a purity by weight of 97 % or more","2023-01-01","#NA",90294,"2905399500","80"
8851,93111,"2905399590","80","Other","2011-01-01","#NA",90294,"2905399500","80"
8852,36377,"2905410000","10","Other polyhydric alcohols","1972-01-01","#NA",36339,"2905000000","80"
8853,36378,"2905410000","80","2-Ethyl-2-(hydroxymethyl)propane-1,3-diol (trimethylolpropane)","1972-01-01","#NA",36377,"2905410000","10"
8854,36379,"2905420000","80","Pentaerythritol","1972-01-01","#NA",36377,"2905410000","10"
8855,36380,"2905430000","80","Mannitol","1972-01-01","#NA",36377,"2905410000","10"
8856,36381,"2905440000","80","D-glucitol (sorbitol)","1972-01-01","#NA",36377,"2905410000","10"
8857,36382,"2905441100","10","In aqueous solution","1972-01-01","#NA",36381,"2905440000","80"
8858,36383,"2905441100","80","Containing 2|% or less by weight of D-mannitol, calculated on the D-glucitol content","1972-01-01","#NA",36382,"2905441100","10"
8859,36384,"2905441900","80","Other","1972-01-01","#NA",36382,"2905441100","10"
8860,36385,"2905449100","10","Other","1972-01-01","#NA",36381,"2905440000","80"
8861,36386,"2905449100","80","Containing 2|% or less by weight of D-mannitol, calculated on the D-glucitol content","1972-01-01","#NA",36385,"2905449100","10"
